CDU_ID,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : Total\ Car or van availability - Unit : Cars or vans,Car or van availability : Sum of all cars or vans - Unit : Cars or vans,avg car per household
19763,716,403,403,0.562849162
19764,430,454,454,1.055813953
19765,533,470,470,0.881801126
19766,543,451,451,0.830570902
19767,610,458,458,0.750819672
19768,471,634,634,1.346072187
19769,495,589,589,1.18989899
19770,628,458,458,0.729299363
19771,517,648,648,1.253384913
19772,491,647,647,1.317718941
19773,557,593,593,1.064631957
19774,629,642,642,1.020667727
19775,586,588,588,1.003412969
19776,905,396,396,0.437569061
19777,710,443,443,0.623943662
19778,993,455,455,0.458207452
19779,1035,415,415,0.400966184
19780,785,400,400,0.50955414
19781,813,417,417,0.512915129
19782,813,367,367,0.451414514
19783,600,273,273,0.455
19784,700,639,639,0.912857143
19785,908,431,431,0.474669604
19786,733,394,394,0.537517053
19787,952,448,448,0.470588235
19788,651,558,558,0.857142857
19789,829,556,556,0.670687575
19790,522,723,723,1.385057471
19791,478,803,803,1.679916318
19792,548,720,720,1.313868613
19793,471,777,777,1.649681529
19794,499,509,509,1.02004008
19795,500,540,540,1.08
19796,742,291,291,0.392183288
19797,856,353,353,0.412383178
19798,756,385,385,0.509259259
19799,768,361,361,0.470052083
19800,1014,369,369,0.363905325
19801,883,483,483,0.546998867
19802,906,393,393,0.433774834
19803,940,354,354,0.376595745
19804,793,288,288,0.363177806
19805,696,416,416,0.597701149
19806,683,454,454,0.664714495
19807,512,519,519,1.013671875
19808,800,301,301,0.37625
19809,751,385,385,0.5126498
19810,665,439,439,0.660150376
19811,650,350,350,0.538461538
19812,727,494,494,0.679504814
19813,823,409,409,0.496962333
19814,480,835,835,1.739583333
19815,474,784,784,1.654008439
19816,460,499,499,1.084782609
19817,497,575,575,1.15694165
19818,475,686,686,1.444210526
19819,486,528,528,1.086419753
19820,787,512,512,0.650571792
19821,480,760,760,1.583333333
19822,513,468,468,0.912280702
19823,477,642,642,1.34591195
19824,462,570,570,1.233766234
19825,474,515,515,1.08649789
19826,428,527,527,1.231308411
19827,625,595,595,0.952
19828,534,582,582,1.08988764
19829,793,552,552,0.696090794
19830,689,620,620,0.899854862
19831,683,417,417,0.610541728
19832,821,649,649,0.790499391
19833,603,435,435,0.721393035
19834,720,572,572,0.794444444
19835,1017,566,566,0.55653884
19836,619,491,491,0.793214863
19837,718,476,476,0.662952646
19838,1093,492,492,0.450137237
19839,458,692,692,1.510917031
19840,669,766,766,1.144992526
19841,592,713,713,1.204391892
19842,626,723,723,1.154952077
19843,650,620,620,0.953846154
19844,525,645,645,1.228571429
19845,680,781,781,1.148529412
19846,527,562,562,1.066413662
19847,582,321,321,0.551546392
19848,640,329,329,0.5140625
19849,489,281,281,0.574642127
19850,783,459,459,0.586206897
19851,477,341,341,0.714884696
19852,512,373,373,0.728515625
19853,576,334,334,0.579861111
19854,548,396,396,0.722627737
19855,553,381,381,0.688969259
19856,567,485,485,0.855379189
19857,667,622,622,0.932533733
19858,734,631,631,0.859673025
19859,640,611,611,0.9546875
19860,621,565,565,0.909822866
19861,454,370,370,0.814977974
19862,521,492,492,0.944337812
19863,639,466,466,0.729264476
19864,563,447,447,0.793960924
19865,586,429,429,0.732081911
19866,528,527,527,0.998106061
19867,500,549,549,1.098
19868,473,560,560,1.183932347
19869,500,494,494,0.988
19870,514,492,492,0.957198444
19871,636,454,454,0.713836478
19872,541,724,724,1.338262477
